id,categoria,valor,quantidade,data,regiao,status
0,D,84.5107671215138,77,2023-01-01 00:00:00,Oeste,Inativo
1,E,92.27391003044187,31,2023-01-01 00:01:00,Oeste,Ativo
2,C,147.83839864239036,39,2023-01-01 00:02:00,Norte,Ativo
3,E,84.65238387115383,50,2023-01-01 00:03:00,Leste,Pendente
4,E,98.44454599471167,78,2023-01-01 00:04:00,Sul,Ativo
5,B,90.87790300500468,86,2023-01-01 00:05:00,Sul,Ativo
6,C,79.2073211435044,37,2023-01-01 00:06:00,Norte,Ativo
7,C,108.42169980439613,88,2023-01-01 00:07:00,Leste,Ativo
8,C,100.72944353308418,72,2023-01-01 00:08:00,Leste,Ativo
9,E,118.22054617999855,15,2023-01-01 00:09:00,Norte,Ativo
10,D,116.21155840660009,51,2023-01-01 00:10:00,Sul,Ativo
11,C,118.01415438083991,70,2023-01-01 00:11:00,Sul,Inativo
12,E,81.63593254298013,23,2023-01-01 00:12:00,Sul,Pendente
13,B,112.81921598406191,25,2023-01-01 00:13:00,Leste,Ativo
14,D,113.30543012580189,95,2023-01-01 00:14:00,Norte,Inativo
15,B,79.57874003586288,46,2023-01-01 00:15:00,Leste,Ativo
16,D,93.62767515545521,93,2023-01-01 00:16:00,Sul,Pendente
17,E,70.87775807042064,23,2023-01-01 00:17:00,Leste,Ativo
18,A,113.39245264760568,10,2023-01-01 00:18:00,Sul,Ativo
19,D,113.30044938887947,73,2023-01-01 00:19:00,Norte,Ativo
20,B,128.60725598236712,77,2023-01-01 00:20:00,Sul,Ativo
21,E,95.42402984371309,32,2023-01-01 00:21:00,Oeste,Ativo
22,D,109.02939173127592,51,2023-01-01 00:22:00,Oeste,Inativo
23,A,119.75470202050616,41,2023-01-01 00:23:00,Norte,Ativo
24,A,84.92216942890617,65,2023-01-01 00:24:00,Leste,Ativo
25,C,81.88069717364601,65,2023-01-01 00:25:00,Leste,Ativo
26,C,85.5422959784767,40,2023-01-01 00:26:00,Leste,Ativo
27,B,93.01409063589557,18,2023-01-01 00:27:00,Sul,Ativo
28,D,82.58891288707693,36,2023-01-01 00:28:00,Oeste,Ativo
29,D,86.40344580077553,31,2023-01-01 00:29:00,Norte,Ativo
30,C,117.61830338066491,54,2023-01-01 00:30:00,Leste,Ativo
31,D,98.07306737011415,63,2023-01-01 00:31:00,Leste,Ativo
32,D,106.13396747318872,1,2023-01-01 00:32:00,Norte,Ativo
33,A,88.9856642376285,52,2023-01-01 00:33:00,Sul,Ativo
34,C,87.67269141635319,57,2023-01-01 00:34:00,Leste,Pendente
35,E,105.71111779080795,9,2023-01-01 00:35:00,Sul,Ativo
36,C,102.5212465600681,86,2023-01-01 00:36:00,Sul,Inativo
37,E,115.55973356616138,92,2023-01-01 00:37:00,Sul,Inativo
38,A,126.03185996007986,90,2023-01-01 00:38:00,Leste,Ativo
39,B,86.1717559144719,74,2023-01-01 00:39:00,Leste,Ativo
40,D,117.22369075527561,56,2023-01-01 00:40:00,Norte,Ativo
41,A,78.40387664613675,47,2023-01-01 00:41:00,Norte,Ativo
42,D,141.47557365606568,3,2023-01-01 00:42:00,Sul,Inativo
43,B,84.27391893723342,2,2023-01-01 00:43:00,Leste,Inativo
44,B,113.81261139513519,54,2023-01-01 00:44:00,Sul,Pendente
45,A,78.2551932251067,37,2023-01-01 00:45:00,Norte,Ativo
46,B,96.95818227706403,56,2023-01-01 00:46:00,Sul,Ativo
47,E,130.91466284307032,31,2023-01-01 00:47:00,Oeste,Inativo
48,B,83.64591696027854,97,2023-01-01 00:48:00,Sul,Ativo
49,D,144.08372335772447,96,2023-01-01 00:49:00,Leste,Ativo
50,D,99.89448805781909,12,2023-01-01 00:50:00,Sul,Inativo
51,D,119.51425075965332,58,2023-01-01 00:51:00,Sul,Pendente
52,D,108.05889147007207,67,2023-01-01 00:52:00,Leste,Ativo
53,E,109.14080131192733,26,2023-01-01 00:53:00,Oeste,Ativo
54,C,71.47772565713791,78,2023-01-01 00:54:00,Leste,Ativo
55,A,90.54294414043908,12,2023-01-01 00:55:00,Norte,Ativo
56,D,123.91952924967407,90,2023-01-01 00:56:00,Oeste,Ativo
57,B,93.11357596460006,16,2023-01-01 00:57:00,Oeste,Ativo
58,D,102.77664165435627,53,2023-01-01 00:58:00,Leste,Ativo
